iter	Passed	Remaining
0	1	100
1	1	89
2	2	83
3	3	94
4	4	89
5	5	82
6	5	78
7	6	74
8	7	73
9	7	71
10	8	68
11	9	66
12	9	64
13	10	62
14	10	60
15	11	59
16	11	57
17	12	56
18	12	54
19	13	53
20	13	52
21	14	52
22	15	51
23	16	50
24	16	49
25	17	48
26	17	47
27	18	47
28	19	46
29	19	45
30	20	44
31	20	43
32	21	43
33	21	42
34	22	41
35	22	40
36	23	39
37	23	38
38	24	38
39	25	37
40	25	36
41	26	36
42	26	35
43	27	35
44	28	34
45	29	34
46	30	34
47	30	33
48	31	32
49	33	33
50	34	32
51	34	32
52	35	31
53	36	30
54	36	30
55	37	29
56	38	28
57	38	28
58	39	27
59	39	26
60	40	25
61	41	25
62	41	24
63	42	23
64	42	22
65	43	22
66	43	21
67	44	20
68	45	20
69	45	19
70	46	18
71	46	18
72	47	17
73	48	16
74	48	16
75	49	15
76	49	14
77	50	14
78	50	13
79	51	12
80	52	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	55	7
88	56	6
89	56	6
90	59	5
91	60	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	64	1
98	65	0
99	65	0
